"VAR";"RESPONSE";"MEANING"
"DM01";6;"Student (undergraduate, Bachelor/Master or similar)"
"DM01";1;"Scientific staff"
"DM01";2;"PhD candidate"
"DM01";3;"Postdoc"
"DM01";4;"Group leader / junior professor"
"DM01";9;"Associate professor"
"DM01";5;"Full professor"
"DM01";7;"Other (scientific)"
"DM01";8;"Other (non-scientific)"
"DM01";-9;"nicht beantwortet"
"DM05";1;"Global"
"DM05";2;"Continental"
"DM05";6;"< Million km²"
"DM05";3;"< 1000 km²"
"DM05";4;"< km²"
"DM05";7;"< m²"
"DM05";8;"< cm²"
"DM05";5;"Mixed"
"DM05";-1;"Does not apply to me"
"DM05";-9;"nicht beantwortet"
"DM06_01";1;"nicht gewählt"
"DM06_01";2;"ausgewählt"
"DM06_02";1;"nicht gewählt"
"DM06_02";2;"ausgewählt"
"DM06_03";1;"nicht gewählt"
"DM06_03";2;"ausgewählt"
"DM06_04";1;"nicht gewählt"
"DM06_04";2;"ausgewählt"
"DM06_05";1;"nicht gewählt"
"DM06_05";2;"ausgewählt"
"DM06_06";1;"nicht gewählt"
"DM06_06";2;"ausgewählt"
"DM06_07";1;"nicht gewählt"
"DM06_07";2;"ausgewählt"
"DM06_08";1;"nicht gewählt"
"DM06_08";2;"ausgewählt"
"DM06_09";1;"nicht gewählt"
"DM06_09";2;"ausgewählt"
"DM06_10";1;"nicht gewählt"
"DM06_10";2;"ausgewählt"
"DM06_11";1;"nicht gewählt"
"DM06_11";2;"ausgewählt"
"DM07_01";1;"nicht gewählt"
"DM07_01";2;"ausgewählt"
"DM07_02";1;"nicht gewählt"
"DM07_02";2;"ausgewählt"
"DM07_03";1;"nicht gewählt"
"DM07_03";2;"ausgewählt"
"DM07_04";1;"nicht gewählt"
"DM07_04";2;"ausgewählt"
"DM07_05";1;"nicht gewählt"
"DM07_05";2;"ausgewählt"
"O101_01";1;"strongly disagree [1]"
"O101_01";2;"[2]"
"O101_01";3;"[3]"
"O101_01";4;"[4]"
"O101_01";5;"[5]"
"O101_01";6;"strongly agree [6]"
"O101_01";-1;"does not apply to me"
"O101_01";-9;"nicht beantwortet"
"O101_02";1;"strongly disagree [1]"
"O101_02";2;"[2]"
"O101_02";3;"[3]"
"O101_02";4;"[4]"
"O101_02";5;"[5]"
"O101_02";6;"strongly agree [6]"
"O101_02";-1;"does not apply to me"
"O101_02";-9;"nicht beantwortet"
"O101_12";1;"strongly disagree [1]"
"O101_12";2;"[2]"
"O101_12";3;"[3]"
"O101_12";4;"[4]"
"O101_12";5;"[5]"
"O101_12";6;"strongly agree [6]"
"O101_12";-1;"does not apply to me"
"O101_12";-9;"nicht beantwortet"
"O101_03";1;"strongly disagree [1]"
"O101_03";2;"[2]"
"O101_03";3;"[3]"
"O101_03";4;"[4]"
"O101_03";5;"[5]"
"O101_03";6;"strongly agree [6]"
"O101_03";-1;"does not apply to me"
"O101_03";-9;"nicht beantwortet"
"O101_04";1;"strongly disagree [1]"
"O101_04";2;"[2]"
"O101_04";3;"[3]"
"O101_04";4;"[4]"
"O101_04";5;"[5]"
"O101_04";6;"strongly agree [6]"
"O101_04";-1;"does not apply to me"
"O101_04";-9;"nicht beantwortet"
"O101_16";1;"strongly disagree [1]"
"O101_16";2;"[2]"
"O101_16";3;"[3]"
"O101_16";4;"[4]"
"O101_16";5;"[5]"
"O101_16";6;"strongly agree [6]"
"O101_16";-1;"does not apply to me"
"O101_16";-9;"nicht beantwortet"
"O101_05";1;"strongly disagree [1]"
"O101_05";2;"[2]"
"O101_05";3;"[3]"
"O101_05";4;"[4]"
"O101_05";5;"[5]"
"O101_05";6;"strongly agree [6]"
"O101_05";-1;"does not apply to me"
"O101_05";-9;"nicht beantwortet"
"O101_15";1;"strongly disagree [1]"
"O101_15";2;"[2]"
"O101_15";3;"[3]"
"O101_15";4;"[4]"
"O101_15";5;"[5]"
"O101_15";6;"strongly agree [6]"
"O101_15";-1;"does not apply to me"
"O101_15";-9;"nicht beantwortet"
"O101_06";1;"strongly disagree [1]"
"O101_06";2;"[2]"
"O101_06";3;"[3]"
"O101_06";4;"[4]"
"O101_06";5;"[5]"
"O101_06";6;"strongly agree [6]"
"O101_06";-1;"does not apply to me"
"O101_06";-9;"nicht beantwortet"
"O101_07";1;"strongly disagree [1]"
"O101_07";2;"[2]"
"O101_07";3;"[3]"
"O101_07";4;"[4]"
"O101_07";5;"[5]"
"O101_07";6;"strongly agree [6]"
"O101_07";-1;"does not apply to me"
"O101_07";-9;"nicht beantwortet"
"O101_08";1;"strongly disagree [1]"
"O101_08";2;"[2]"
"O101_08";3;"[3]"
"O101_08";4;"[4]"
"O101_08";5;"[5]"
"O101_08";6;"strongly agree [6]"
"O101_08";-1;"does not apply to me"
"O101_08";-9;"nicht beantwortet"
"O101_17";1;"strongly disagree [1]"
"O101_17";2;"[2]"
"O101_17";3;"[3]"
"O101_17";4;"[4]"
"O101_17";5;"[5]"
"O101_17";6;"strongly agree [6]"
"O101_17";-1;"does not apply to me"
"O101_17";-9;"nicht beantwortet"
"O102_01";1;"Yes"
"O102_01";2;"No"
"O102_01";-9;"nicht beantwortet"
"O102_02";1;"Yes"
"O102_02";2;"No"
"O102_02";-9;"nicht beantwortet"
"O103_01";1;"strongly disagree [1]"
"O103_01";2;"[2]"
"O103_01";3;"[3]"
"O103_01";4;"[4]"
"O103_01";5;"[5]"
"O103_01";6;"strongly agree [6]"
"O103_01";-1;"I don?t know"
"O103_01";-9;"nicht beantwortet"
"O103_02";1;"strongly disagree [1]"
"O103_02";2;"[2]"
"O103_02";3;"[3]"
"O103_02";4;"[4]"
"O103_02";5;"[5]"
"O103_02";6;"strongly agree [6]"
"O103_02";-1;"I don?t know"
"O103_02";-9;"nicht beantwortet"
"O103_03";1;"strongly disagree [1]"
"O103_03";2;"[2]"
"O103_03";3;"[3]"
"O103_03";4;"[4]"
"O103_03";5;"[5]"
"O103_03";6;"strongly agree [6]"
"O103_03";-1;"I don?t know"
"O103_03";-9;"nicht beantwortet"
"O103_04";1;"strongly disagree [1]"
"O103_04";2;"[2]"
"O103_04";3;"[3]"
"O103_04";4;"[4]"
"O103_04";5;"[5]"
"O103_04";6;"strongly agree [6]"
"O103_04";-1;"I don?t know"
"O103_04";-9;"nicht beantwortet"
"O103_05";1;"strongly disagree [1]"
"O103_05";2;"[2]"
"O103_05";3;"[3]"
"O103_05";4;"[4]"
"O103_05";5;"[5]"
"O103_05";6;"strongly agree [6]"
"O103_05";-1;"I don?t know"
"O103_05";-9;"nicht beantwortet"
"O103_06";1;"strongly disagree [1]"
"O103_06";2;"[2]"
"O103_06";3;"[3]"
"O103_06";4;"[4]"
"O103_06";5;"[5]"
"O103_06";6;"strongly agree [6]"
"O103_06";-1;"I don?t know"
"O103_06";-9;"nicht beantwortet"
"S101";-1;"None"
"S101_01";1;"nicht gewählt"
"S101_01";2;"ausgewählt"
"S101_02";1;"nicht gewählt"
"S101_02";2;"ausgewählt"
"S101_03";1;"nicht gewählt"
"S101_03";2;"ausgewählt"
"S101_04";1;"nicht gewählt"
"S101_04";2;"ausgewählt"
"S101_06";1;"nicht gewählt"
"S101_06";2;"ausgewählt"
"S103";1;"Every day"
"S103";2;"Multiple times per week"
"S103";3;"Once a week"
"S103";4;"Once a month"
"S103";5;"Less than once a month"
"S103";-1;"I do not use research software in my own research."
"S103";-9;"nicht beantwortet"
"S110";1;"Every day"
"S110";2;"Multiple times per week"
"S110";3;"Once a week"
"S110";4;"Once a month"
