"VAR";"LABEL";"TYPE";"INPUT";"QUESTION"
"CASE";"Interview-Nummer (fortlaufend)";"METRIC";"SYSTEM";
"SERIAL";"Seriennummer (sofern verwendet)";"TEXT";"SYSTEM";
"REF";"Referenz (sofern im Link angegeben)";"TEXT";"SYSTEM";
"QUESTNNR";"Fragebogen, der im Interview verwendet wurde";"TEXT";"SYSTEM";
"MODE";"Interview-Modus";"TEXT";"SYSTEM";
"STARTED";"Zeitpunkt zu dem das Interview begonnen hat (Europe/Berlin)";"TIME";"SYSTEM";
"DM01";"Career Stage";"NOMINAL";"SELECTION";"What career stage are you in?"
"DM01_07";"Career Stage: Other (scientific)";"TEXT";"OPEN";"What career stage are you in?"
"DM01_08";"Career Stage: Other (non-scientific)";"TEXT";"OPEN";"What career stage are you in?"
"DM02_01";"Years of Experience:  ... years";"TEXT";"OPEN";"For how long have you been working in your research field?"
"DM05";"scale";"NOMINAL";"SELECTION";"What geographic scale are you working on?"
"DM06";"Field: Ausweichoption (negativ) oder Anzahl ausgewählter Optionen";"METRIC";"SYSTEM";"To which field within the geosciences does your research mainly belong?"
"DM06_01";"Field: Hydrology";"DICHOTOMOUS";"CHECKBOX";"To which field within the geosciences does your research mainly belong?"
"DM06_02";"Field: Water Quality";"DICHOTOMOUS";"CHECKBOX";"To which field within the geosciences does your research mainly belong?"
"DM06_03";"Field: Spatial Planning";"DICHOTOMOUS";"CHECKBOX";"To which field within the geosciences does your research mainly belong?"
"DM06_04";"Field: Ecology";"DICHOTOMOUS";"CHECKBOX";"To which field within the geosciences does your research mainly belong?"
"DM06_05";"Field: Soil Science";"DICHOTOMOUS";"CHECKBOX";"To which field within the geosciences does your research mainly belong?"
"DM06_06";"Field: Geomorphology";"DICHOTOMOUS";"CHECKBOX";"To which field within the geosciences does your research mainly belong?"
"DM06_07";"Field: Meteorology";"DICHOTOMOUS";"CHECKBOX";"To which field within the geosciences does your research mainly belong?"
"DM06_08";"Field: Climate Studies";"DICHOTOMOUS";"CHECKBOX";"To which field within the geosciences does your research mainly belong?"
"DM06_09";"Field: Environmental Sciences";"DICHOTOMOUS";"CHECKBOX";"To which field within the geosciences does your research mainly belong?"
"DM06_10";"Field: Earth System Sciences";"DICHOTOMOUS";"CHECKBOX";"To which field within the geosciences does your research mainly belong?"
"DM06_11";"Field: Other";"DICHOTOMOUS";"CHECKBOX";"To which field within the geosciences does your research mainly belong?"
"DM06_11a";"Field: Other (offene Eingabe)";"TEXT";"OPEN";"To which field within the geosciences does your research mainly belong?"
"DM07";"KindOfTasks: Ausweichoption (negativ) oder Anzahl ausgewählter Optionen";"METRIC";"SYSTEM";"What is the focus of your work?"
"DM07_01";"KindOfTasks: I conduct research that improves our process understanding by conducting field or lab experiments.";"DICHOTOMOUS";"CHECKBOX";"What is the focus of your work?"
"DM07_02";"KindOfTasks: I conduct research by developing and using computational models.";"DICHOTOMOUS";"CHECKBOX";"What is the focus of your work?"
"DM07_03";"KindOfTasks: I conduct research by applying computational models without building them myself.";"DICHOTOMOUS";"CHECKBOX";"What is the focus of your work?"
"DM07_04";"KindOfTasks: I develop computational models but do not conduct any research.";"DICHOTOMOUS";"CHECKBOX";"What is the focus of your work?"
"DM07_05";"KindOfTasks: I use results of models in my work (e.g., policy, consultation) but do not conduct any research myself.";"DICHOTOMOUS";"CHECKBOX";"What is the focus of your work?"
"O101_01";"Opinion: Most published science in my field is ((reproducible|We explicitly exclude the retracing of results by means of using a different modeling environment (including variations in model concept, algorithms, input data or methodology).)).";"ORDINAL";"SCALE";"How strongly do you agree with the following statements?"
"O101_02";"Opinion: In general, ((reproducibility|We explicitly exclude the retracing of results by means of using a different modeling environment (including variations in model concept, algorithms, input data or methodology).)) is a major problem in my field.";"ORDINAL";"SCALE";"How strongly do you agree with the following statements?"
"O101_12";"Opinion: I believe that we are jeopardizing the trust in our results due to a lack of ((reproducibility|We explicitly exclude the retracing of results by means of using a different modeling environment (including variations in model concept, algorithms, input data or methodology).)).";"ORDINAL";"SCALE";"How strongly do you agree with the following statements?"
"O101_03";"Opinion: My own scientific work is ((reproducible|We explicitly exclude the retracing of results by means of using a different modeling environment (including variations in model concept, algorithms, input data or methodology).)).";"ORDINAL";"SCALE";"How strongly do you agree with the following statements?"
"O101_04";"Opinion: I am able to comprehend research code of other researchers in my field.";"ORDINAL";"SCALE";"How strongly do you agree with the following statements?"
"O101_16";"Opinion: I don't need to understand the code of other models; good documentation is sufficient for ((reproducibility|We explicitly exclude the retracing of results by means of using a different modeling environment (including variations in model concept, algorithms, input data or methodology).)).";"ORDINAL";"SCALE";"How strongly do you agree with the following statements?"
"O101_05";"Opinion: I would be able to teach practices and skills for ((reproducible|We explicitly exclude the retracing of results by means of using a different modeling environment (including variations in model concept, algorithms, input data or methodology).)) science.";"ORDINAL";"SCALE";"How strongly do you agree with the following statements?"
"O101_15";"Opinion: I would like to make my scientific work more ((reproducible|We explicitly exclude the retracing of results by means of using a different modeling environment (including variations in model concept, algorithms, input data or methodology).)), but I don?t have the resources.";"ORDINAL";"SCALE";"How strongly do you agree with the following statements?"
"O101_06";"Opinion: I would like to make my scientific work more ((reproducible|We explicitly exclude the retracing of results by means of using a different modeling environment (including variations in model concept, algorithms, input data or methodology).)), but I don't know how.";"ORDINAL";"SCALE";"How strongly do you agree with the following statements?"
